id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_user,Can add user
14,4,change_user,Can change user
15,4,delete_user,Can delete user
16,4,view_user,Can view user
17,5,add_contenttype,Can add content type
18,5,change_contenttype,Can change content type
19,5,delete_contenttype,Can delete content type
20,5,view_contenttype,Can view content type
21,6,add_session,Can add session
22,6,change_session,Can change session
23,6,delete_session,Can delete session
24,6,view_session,Can view session
25,7,add_actividades,Can add actividades
26,7,change_actividades,Can change actividades
27,7,delete_actividades,Can delete actividades
28,7,view_actividades,Can view actividades
29,8,add_donaciones,Can add donaciones
30,8,change_donaciones,Can change donaciones
31,8,delete_donaciones,Can delete donaciones
32,8,view_donaciones,Can view donaciones
33,9,add_historias,Can add historias
34,9,change_historias,Can change historias
35,9,delete_historias,Can delete historias
36,9,view_historias,Can view historias
37,10,add_inicio,Can add inicio
38,10,change_inicio,Can change inicio
39,10,delete_inicio,Can delete inicio
40,10,view_inicio,Can view inicio
41,11,add_nosotros,Can add nosotros
42,11,change_nosotros,Can change nosotros
43,11,delete_nosotros,Can delete nosotros
44,11,view_nosotros,Can view nosotros
45,12,add_programas,Can add programas
46,12,change_programas,Can change programas
47,12,delete_programas,Can delete programas
48,12,view_programas,Can view programas
49,13,add_seccion,Can add seccion
50,13,change_seccion,Can change seccion
51,13,delete_seccion,Can delete seccion
52,13,view_seccion,Can view seccion
53,14,add_articulos,Can add Artículo
54,14,change_articulos,Can change Artículo
55,14,delete_articulos,Can delete Artículo
56,14,view_articulos,Can view Artículo
57,15,add_donacionescbu,Can add DonaciónCBU
58,15,change_donacionescbu,Can change DonaciónCBU
59,15,delete_donacionescbu,Can delete DonaciónCBU
60,15,view_donacionescbu,Can view DonaciónCBU
