id,object_id,object_repr,action_flag,change_message,content_type_id,user_id,action_time
1,1,Donaciones,1,"[{""added"": {}}]",8,1,2024-06-10 17:13:54.776096
2,1,primero,1,"[{""added"": {}}]",10,1,2024-06-12 13:58:27.037338
3,1,primero,1,"[{""added"": {}}]",11,1,2024-06-12 14:46:18.451702
4,1,primero,2,[],11,1,2024-06-12 14:56:45.377857
5,1,primero,2,"[{""changed"": {""fields"": [""Video""]}}]",11,1,2024-06-12 15:01:30.805866
6,1,Programas,1,"[{""added"": {}}]",12,1,2024-06-12 15:06:22.579670
7,1,Programas,2,[],12,1,2024-06-12 15:08:39.936548
8,1,Actividades,1,"[{""added"": {}}]",7,1,2024-06-12 15:09:30.865468
9,1,Articulos,1,"[{""added"": {}}]",14,1,2024-06-12 15:14:23.894850
10,1,Articulos,2,"[{""changed"": {""fields"": [""Articulos""]}}]",14,1,2024-06-12 15:50:19.319477
11,1,Articulos,2,[],14,1,2024-06-12 16:14:50.865722
12,1,Provincia,1,"[{""added"": {}}]",15,1,2024-06-17 20:38:35.174754
13,1,Provincia,2,[],15,1,2024-06-17 20:43:44.846983
14,1,Historia,1,"[{""added"": {}}]",9,1,2024-06-18 01:29:57.570826
15,1,Historia,2,"[{""changed"": {""fields"": [""Video""]}}]",9,1,2024-06-18 01:35:14.293544
16,1,"Artículos, notas, ideas para compartir",2,"[{""changed"": {""fields"": [""Titulo""]}}]",14,1,2024-06-18 01:37:13.360081
17,1,Actividades,2,"[{""changed"": {""fields"": [""Descripcion"", ""Info""]}}]",7,1,2024-06-20 15:31:05.098945
18,1,Actividades,2,"[{""changed"": {""fields"": [""Info""]}}]",7,1,2024-06-21 13:42:57.545489
19,1,Actividades,2,"[{""changed"": {""fields"": [""Descripcion""]}}]",7,1,2024-06-21 13:43:15.654032
20,1,primero,2,"[{""changed"": {""fields"": [""Imagen""]}}]",10,1,2024-06-21 14:39:44.655654
21,1,primero,2,"[{""changed"": {""fields"": [""Ofertas"", ""Mensaje""]}}]",10,1,2024-06-21 14:40:48.097060
22,1,primero,2,"[{""changed"": {""fields"": [""Imagen""]}}]",10,1,2024-06-21 15:02:54.229709
23,1,primero,2,"[{""changed"": {""fields"": [""Imagen""]}}]",10,1,2024-06-21 23:08:46.744634
24,1,Nosotros,2,"[{""changed"": {""fields"": [""Titulo"", ""Contenido"", ""Mision""]}}]",11,1,2024-06-21 23:18:22.626412
25,1,Nosotros,2,[],11,1,2024-06-21 23:21:53.551238
26,1,Programas,2,"[{""changed"": {""fields"": [""Contenido"", ""Info""]}}]",12,1,2024-06-22 13:28:25.687466
27,2,historia 2,1,"[{""added"": {}}]",9,1,2024-06-22 14:12:41.508002
28,1,Historia de Juan,2,"[{""changed"": {""fields"": [""Titulo"", ""Testimonios"", ""Enlaces""]}}]",9,1,2024-06-22 14:18:01.442822
29,2,Historia de María,2,"[{""changed"": {""fields"": [""Titulo"", ""Video""]}}]",9,1,2024-06-22 14:18:17.181796
30,1,Articulo sobre inclusión,2,"[{""changed"": {""fields"": [""Titulo"", ""Articulos""]}}]",14,1,2024-06-22 14:26:48.136196
31,2,Articulo sobre discapacidad auditiva,1,"[{""added"": {}}]",14,1,2024-06-22 14:27:07.137442
32,3,Articulo sobre discapacidad visual,1,"[{""added"": {}}]",14,1,2024-06-22 14:27:23.323112
33,1,Articulo sobre inclusión,2,"[{""changed"": {""fields"": [""Imagenes""]}}]",14,1,2024-06-22 14:39:26.848355
34,2,Articulo sobre discapacidad auditiva,2,"[{""changed"": {""fields"": [""Imagenes""]}}]",14,1,2024-06-22 14:39:33.637222
35,3,Articulo sobre discapacidad visual,2,"[{""changed"": {""fields"": [""Imagenes""]}}]",14,1,2024-06-22 14:39:38.749581
36,2,Articulo sobre discapacidad auditiva,2,"[{""changed"": {""fields"": [""Imagenes""]}}]",14,1,2024-06-22 14:39:57.887453
37,1,Articulo sobre inclusión,2,"[{""changed"": {""fields"": [""Imagenes""]}}]",14,1,2024-06-22 14:40:10.763660
38,1,Donaciones,2,"[{""changed"": {""fields"": [""Info impacto"", ""Historial"", ""Donar""]}}]",8,1,2024-06-22 15:06:18.162931
